50
128
0 8
1 10
2 4
3 9
4 1
5 3
6 5
7 9
8 4
9 10
10 1
11 6
12 3
13 3
14 8
15 4
16 8
17 10
18 1
19 3
20 4
21 10
22 10
23 8
24 1
25 4
26 10
27 9
28 7
29 6
30 8
31 7
32 3
33 8
34 1
35 4
36 10
37 10
38 10
39 2
40 8
41 3
42 4
43 7
44 6
45 6
46 9
47 2
48 5
49 8
1 3 9
44 18 1
24 46 1
3 22 7
49 24 2
3 27 9
28 33 9
31 35 4
15 14 4
36 25 10
15 44 10
1 17 6
5 4 2
48 38 4
5 32 3
37 38 5
1 47 2
28 37 9
27 47 5
4 9 2
45 25 6
48 42 10
18 12 1
7 44 9
45 18 4
30 6 3
42 15 3
2 17 2
45 12 2
1 40 2
38 7 7
29 35 7
22 48 6
19 4 4
39 10 6
26 23 7
13 20 9
44 20 5
16 34 7
44 13 9
44 40 1
9 23 8
35 17 3
39 47 6
46 35 4
20 44 9
35 15 6
34 42 2
29 2 5
46 42 6
41 33 10
47 3 8
25 10 3
11 8 8
11 25 6
18 45 7
17 39 5
31 6 2
22 10 5
34 5 10
7 15 4
19 30 6
5 6 4
2 26 9
49 31 5
38 8 8
1 49 4
14 19 6
9 30 10
23 4 1
37 45 8
25 0 7
14 47 9
4 0 1
26 12 5
47 4 2
48 15 9
49 9 10
3 33 8
7 23 3
5 26 4
24 30 7
0 44 1
35 16 9
5 33 8
26 28 7
7 11 9
37 33 2
20 12 4
47 31 9
39 23 8
4 8 1
4 10 6
47 30 1
5 46 8
38 0 7
35 7 4
14 43 1
4 18 8
35 29 6
13 2 8
43 19 8
47 19 6
3 23 4
48 35 9
9 6 1
24 32 4
3 47 1
0 31 1
3 0 1
33 8 4
26 0 5
30 29 3
24 49 3
49 21 1
29 33 1
40 23 1
21 29 9
46 49 1
21 26 5
44 8 7
21 14 1
48 1 1
3 1 2
5 30 9
25 12 4
38 17 9
0 24 6
